1. Zusammenfassung
Besprechungstitel	Presentation #2
Teilnehmende Teilnehmer*innen	61
Startzeit	4/26/23, 3:46:40 PM
Endzeit	4/26/23, 4:32:59 PM
Besprechungsdauer	46m 19s
Durchschnittliche Anwesenheitszeit	26m 22s

2. Teilnehmer
Name	Erster Beitritt	Zeitpunkt des letzten Verlassens	Dauer der Besprechung	E-Mail	Teilnehmer-ID (UPN)	Rolle
Organizer	4/26/23, 3:46:49 PM	4/26/23, 4:32:59 PM	46m 9s	l@example.com	l@example.com	Veranstalter
T. S.	4/26/23, 3:50:22 PM	4/26/23, 4:30:54 PM	40m 32s	t@example.com	t@example.com	Referent
K. S.	4/26/23, 3:51:16 PM	4/26/23, 4:32:59 PM	41m 43s	k@example.com	k@example.com	Referent
S. G.	4/26/23, 3:57:03 PM	4/26/23, 4:31:23 PM	34m 20s	s@example.com	s@example.com	Referent
P. G.	4/26/23, 3:57:12 PM	4/26/23, 4:21:56 PM	24m 44s			Referent
C. H.	4/26/23, 3:58:10 PM	4/26/23, 4:30:38 PM	32m 27s	c@example.com	c@example.com	Referent
F. S.	4/26/23, 3:58:37 PM	4/26/23, 4:30:36 PM	31m 58s	f@example.com	f@example.com	Referent
O. S.	4/26/23, 3:59:07 PM	4/26/23, 4:24:57 PM	12m 39s	o@example.com	o@example.com	Referent
A. M.	4/26/23, 3:59:13 PM	4/26/23, 4:30:36 PM	31m 22s	a@example.com	a@example.com	Referent
F. M.	4/26/23, 3:59:32 PM	4/26/23, 4:30:46 PM	31m 14s	f@example.com	f@example.com	Referent
D. L.	4/26/23, 3:59:49 PM	4/26/23, 4:30:37 PM	30m 48s			Referent
M. K.	4/26/23, 3:59:53 PM	4/26/23, 4:25:38 PM	25m 45s	m@example.com	m@example.com	Referent
M. H.	4/26/23, 3:59:56 PM	4/26/23, 4:28:37 PM	28m 41s	m@example.com	m@example.com	Referent
T. S.	4/26/23, 4:00:13 PM	4/26/23, 4:30:31 PM	30m 17s	t@example.com	t@example.com	Referent
D. F.	4/26/23, 4:00:16 PM	4/26/23, 4:30:36 PM	30m 19s	d@example.com	d@example.com	Referent
E. V.	4/26/23, 4:00:21 PM	4/26/23, 4:30:37 PM	30m 16s			Referent
J. W.	4/26/23, 4:00:23 PM	4/26/23, 4:30:38 PM	30m 14s	j@example.com	j@example.com	Referent
C. P.	4/26/23, 4:00:25 PM	4/26/23, 4:30:37 PM	30m 11s	c@example.com	c@example.com	Referent
B. T.	4/26/23, 4:00:29 PM	4/26/23, 4:30:34 PM	30m 5s	b@example.com	b@example.com	Referent
M. S.	4/26/23, 4:00:29 PM	4/26/23, 4:30:43 PM	30m 14s	m@example.com	m@example.com	Referent
